x,y,lon,lat
488015.146,4466199.16,116.85888052047473,40.346257841549466
488015.126,4466198.612642713,116.85888029525604,40.346252909991684
488015.066,4466198.067479977,116.85887959900484,40.346247997630506
488014.976,4466197.572202784,116.85887854857364,40.3462435342689
488014.846,4466197.0600000005,116.85887702746915,40.34623891784602
488014.686,4466196.573805885,116.85887515263308,40.346234535310344
488014.496,4466196.105904389,116.85887292421039,40.34623031714614
488014.276,4466195.653848263,116.85887034224709,40.34622624130555
488014.026,4466195.21720911,116.85886740675124,40.34622230392902
488013.746,4466194.796515155,116.85886411771301,40.346218509775426
488013.436,4466194.392831029,116.85886047511238,40.34621486843627
488013.096,4466194.007573388,116.85885647892285,40.346211392674455
488012.73600000003,4466193.65165179,116.8588522466873,40.34620818092047
488012.356,4466193.323399963,116.85884777843702,40.34620521816241
488011.956,4466193.022093191,116.85884307418556,40.346202497871104
488011.536,4466192.747675928,116.85883813393399,40.34620001954613
488011.096,4466192.500608136,116.85883295767364,40.34619778733135
488010.636,4466192.281780754,116.8588275453877,40.34619580925341
488010.166,4466192.096035108,116.85882201473297,40.34619412907263
488009.686,4466191.942770615,116.85881636572064,40.3461927413782
488009.196,4466191.821914419,116.85881059835204,40.34619164551374
488008.696,4466191.733863723,116.85880471261963,40.346190845057734
488008.196,4466191.680193853,116.85879882624145,40.34619035434635
488007.696,4466191.660166669,116.8587929392313,40.34619016672956
488007.646,4466191.66,116.85879235049579,40.34619016450925
488007.646,4466191.66,116.85879235049579,40.34619016450925
488007.2174285714,4466191.66,116.85878730416464,40.34619015834855
488006.78885714285,4466191.66,116.85878225783345,40.34619015218761
488006.36028571427,4466191.66,116.85877721150226,40.34619014602646
488005.93171428575,4466191.66,116.8587721651711,40.34619013986509
488005.50314285717,4466191.66,116.85876711883992,40.34619013370349
488005.0745714286,4466191.66,116.85876207250875,40.346190127541675
488004.646,4466191.66,116.85875702617757,40.34619012137965
488004.646,4466191.66,116.85875702617757,40.34619012137965
488004.596,4466191.660166669,116.8587564374358,40.34619012216229
488004.096,4466191.680193853,116.85875054967308,40.346190295402536
488003.596,4466191.733863723,116.85874466127805,40.346190771737376
488003.096,4466191.821914419,116.85873877223678,40.34619155781685
488002.606,4466191.942770615,116.8587330003265,40.34619263959229
488002.126,4466192.096035108,116.85872734555463,40.34619401348523
488001.656,4466192.281780754,116.85872180791974,40.34619568015205
488001.196,4466192.500608136,116.85871638741045,40.34619764500356
488000.756,4466192.747675928,116.85871120186548,40.34619986456698
488000.336,4466193.022093191,116.85870625130154,40.346202330815636
487999.936,4466193.323399963,116.85870153572719,40.346205039605685
487999.556,4466193.65165179,116.85869705514145,40.34620799143755
487999.196,4466194.007573388,116.85869280953065,40.3462111928404
487998.856,4466194.392831029,116.85868879886341,40.346214658826135
487998.54600000003,4466194.796515155,116.85868514109266,40.34621829125181
487998.266,4466195.21720911,116.85868183624504,40.34622207735449
487998.016,4466195.653848263,116.85867888434058,40.34622600754272
487997.79600000003,4466196.105904389,116.85867628538931,40.346230077057584
487997.606,4466196.573805885,116.85867403938319,40.346234289758655
487997.446,4466197.0600000005,116.85867214627625,40.3462386676938
487997.316,4466197.572202784,116.85867060592349,40.34624328037873
487997.226,4466198.067479977,116.85866953688009,40.3462477411525
487997.166,4466198.612642713,116.85866882014199,40.346252651788454
487997.146,4466199.16,116.85866857435391,40.34625758277113
