x,y,lon,lat
487885.07076239574,4466466.044015792,116.85734384704239,40.34866038294783
487885.06158196455,4466466.542347397,116.85734372948178,40.3486648723989
487885.0524015334,4466467.040679002,116.85734361192115,40.348669361849964
487885.0432211022,4466467.539010607,116.85734349436049,40.34867385130101
487885.0340406711,4466468.037342212,116.85734337679985,40.34867834075207
487885.0248602399,4466468.535673817,116.85734325923916,40.34868283020312
487885.01567980874,4466469.034005422,116.85734314167848,40.34868731965418
487885.00649937754,4466469.532337027,116.85734302411775,40.34869180910522
487884.99731894635,4466470.030668632,116.85734290655705,40.34869629855628
487884.9881385152,4466470.529000237,116.85734278899629,40.348700788007314
487884.978958084,4466471.027331842,116.85734267143553,40.34870527745835
487884.9697776529,4466471.525663447,116.85734255387474,40.34870976690939
487884.9605972217,4466472.023995052,116.85734243631397,40.34871425636041
487884.9514167905,4466472.522326657,116.85734231875315,40.34871874581143
487884.94223635935,4466473.020658262,116.85734220119232,40.34872323526246
487884.93305592815,4466473.518989867,116.8573420836315,40.34872772471348
487884.923875497,4466474.017321472,116.85734196607063,40.34873221416449
487884.9146950658,4466474.515653077,116.85734184850976,40.34873670361551
487884.9055146347,4466475.013984682,116.85734173094887,40.34874119306651
487884.8963342035,4466475.512316287,116.85734161338796,40.34874568251751
487884.8871537723,4466476.010647891,116.85734149582703,40.3487501719685
487884.87797334115,4466476.508979497,116.8573413782661,40.348754661419505
487884.86879290995,4466477.007311101,116.85734126070514,40.34875915087049
487884.8596124788,4466477.5056427065,116.85734114314417,40.34876364032149
487884.8504320476,4466478.003974311,116.8573410255832,40.348768129772466
487884.8412516164,4466478.5023059165,116.85734090802218,40.34877261922345
487884.8320711853,4466479.000637521,116.85734079046114,40.34877710867442
487884.8228907541,4466479.4989691265,116.85734067290011,40.34878159812541
487884.81371032295,4466479.997300731,116.85734055533906,40.34878608757637
487884.80452989176,4466480.4956323365,116.85734043777798,40.348790577027344
487884.7953494606,4466480.993963941,116.85734032021689,40.3487950664783
487884.7861690294,4466481.492295546,116.85734020265578,40.348799555929276
487884.7769885982,4466481.990627151,116.85734008509468,40.34880404538022
487884.7678081671,4466482.488958756,116.85733996753353,40.34880853483118
487884.7586277359,4466482.987290361,116.85733984997238,40.34881302428212
487884.74944730476,4466483.485621966,116.8573397324112,40.348817513733074
487884.74026687356,4466483.983953571,116.85733961485002,40.34882200318401
487884.73108644236,4466484.4822851755,116.85733949728883,40.34882649263495
487884.7219060112,4466484.980616781,116.85733937972759,40.348830982085886
487884.71272558003,4466485.478948385,116.85733926216638,40.348835471536816
487884.7035451489,4466485.977279991,116.8573391446051,40.34883996098773
487884.6943647177,4466486.475611595,116.85733902704385,40.34884445043866
487884.68518428656,4466486.973943201,116.85733890948255,40.348848939889585
487884.67600385536,4466487.472274805,116.85733879192126,40.348853429340494
487884.66682342417,4466487.970606411,116.85733867435992,40.34885791879141
487884.657642993,4466488.468938015,116.85733855679861,40.34886240824231
487884.64846256183,4466488.967269621,116.85733843923724,40.34886689769322
487884.6392821307,4466489.465601225,116.85733832167587,40.348871387144115
487884.6301016995,4466489.963932831,116.8573382041145,40.348875876595024
487884.6209212683,4466490.462264435,116.85733808655309,40.34888036604591
487884.61174083716,4466490.960596041,116.85733796899167,40.348884855496806
487884.60256040597,4466491.458927645,116.85733785143024,40.3488893449477
487884.59337997483,4466491.957259251,116.85733773386879,40.34889383439858
487884.58419954363,4466492.455590855,116.85733761630732,40.34889832384945
487884.5750191125,4466492.953922461,116.85733749874585,40.348902813300334
487884.5658386813,4466493.452254065,116.85733738118435,40.3489073027512
487884.5566582501,4466493.95058567,116.85733726362284,40.34891179220207
487884.54747781897,4466494.448917275,116.85733714606128,40.34891628165293
487884.5382973878,4466494.94724888,116.85733702849974,40.3489207711038
487884.52911695663,4466495.445580485,116.85733691093817,40.34892526055466
487884.51993652544,4466495.94391209,116.8573367933766,40.34892975000551
487884.51075609424,4466496.442243695,116.857336675815,40.34893423945636
487884.5015756631,4466496.9405753,116.85733655825338,40.34893872890719
