x,y,lon,lat
487858.075342892,4466465.546697163,116.85702598000002,40.34865551000029
487858.10542138707,4466464.999801118,116.85702634458443,40.34865058332551
487858.1754526743,4466464.45583602,116.85702717956512,40.34864568363783
487858.27456001984,4466463.962300579,116.85702835596268,40.34864123870573
487858.41397233546,4466463.452579186,116.85703000726696,40.3486366485373
487858.58290050254,4466462.969414626,116.85703200562078,40.348632298055065
487858.78148664464,4466462.505092159,116.85703435284437,40.3486281177572
487859.0097758381,4466462.057164949,116.857037049515,40.34862408560025
487859.2677759737,4466461.625204673,116.85704009573374,40.348620197725424
487859.55547732196,4466461.209739465,116.85704349137588,40.34861645889064
487859.8728602731,4466460.811833779,116.85704723619024,40.3486128786855
487860.2198987336,4466460.4329040265,116.8570513298426,40.34860946987037
487860.58639345446,4466460.083673726,116.85705565203088,40.34860632890744
487860.9723751271,4466459.762476885,116.85706020314817,40.34860344078782
487861.3778571001,4466459.468588913,116.85706498336545,40.34860079898367
487861.8028403967,4466459.201954272,116.85706999269584,40.34859840299463
487862.24731654476,4466458.963032845,116.8570752310309,40.34859625696374
487862.71126913384,4466458.752715424,116.85708069816047,40.34859436891606
487863.1846106871,4466458.575658317,116.85708627521407,40.34859278065458
487863.66735226667,4466458.431261045,116.85709196233348,40.34859148676957
487864.15949521464,4466458.319450764,116.85709775953595,40.348590486604785
487864.6610322147,4466458.24062461,116.85710366672785,40.348589783737964
487865.16193594725,4466458.196173449,116.85710956580921,40.348589390553876
487865.66222000815,4466458.185359267,116.85711545695423,40.34858930040376
487865.71221459564,4466458.186113587,116.85711604563559,40.348589307926844
487865.71221459564,4466458.186113587,116.85711604563559,40.348589307926844
487866.1407133179,4466458.194007534,116.85712109113902,40.3485893852781
487866.5692120402,4466458.20190148,116.85712613664245,40.348589462629135
487866.9977107625,4466458.209795427,116.85713118214588,40.348589539979955
487867.42620948475,4466458.217689373,116.85713622764933,40.34858961733056
487867.854708207,4466458.22558332,116.85714127315278,40.348589694680946
487868.28320692934,4466458.233477266,116.85714631865626,40.3485897720311
487868.7117056516,4466458.2413712125,116.85715136415976,40.34858984938104
487868.7117056516,4466458.2413712125,116.85715136415976,40.34858984938104
487868.7616940993,4466458.242458813,116.85715195276252,40.348589859906426
487869.2612403904,4466458.271692204,116.85715783445899,40.348590130541275
487869.7601670099,4466458.334562574,116.85716370821949,40.3485907042101
487870.25846036174,4466458.431807935,116.85716957386994,40.34859158756167
487870.74615115876,4466458.5616690405,116.8571753140536,40.34859276460153
487871.22324671707,4466458.723748753,116.85718092886428,40.34859423175192
487871.6897456947,4466458.918119916,116.85718641828483,40.34859598966909
487872.14563702943,4466459.14538301,116.85719178217363,40.348598043762806
487872.58101159113,4466459.40051334,116.85719690394431,40.34860034862036
487872.9958857902,4466459.682620116,116.8572017838071,40.348602896216676
487873.39026809874,4466459.991243454,116.85720642187049,40.348605682408724
487873.76415749366,4466460.326438894,116.8572108181214,40.3486087076969
487874.11754062626,4466460.688931025,116.8572149723889,40.34861197860901
487874.4503868051,4466461.080385839,116.85721888427997,40.348615510153955
487874.7528986722,4466461.489711435,116.8572224386395,40.348619202259826
487875.02510232106,4466461.915491399,116.85722563580165,40.348623042166274
487875.2670173614,4466462.35666128,116.85722847601755,40.34862702028371
487875.47865352285,4466462.812692941,116.85723095941167,40.348631131854184
487875.6600029145,4466463.284014707,116.85723308588298,40.3486353807365
487875.8110204601,4466463.773073414,116.85723485485411,40.34863978897412
487875.93156403594,4466464.287583801,116.85723626450492,40.34864442606887
487876.01242615376,4466464.7844347,116.85723720723433,40.348648903488474
487876.06237450877,4466465.330610102,116.85723778501115,40.348653824834585
487876.07228922786,4466465.8782429155,116.85723789135622,40.34865875872903
