PC_time_stamp,cmd_steering,cmd_v,path_target_point_index,utm_x,utm_y,GPSWeek,GPSTime,Heading,Pitch,Roll,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,Latitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming,path_x_y_file,target_speed,Kp,threshold_distance
1630553910.7019594,0,0,1,488233.5264887285,4466142.9509996,2173,358728.68,272.76,-0.02,2.6,0.2,-0.55,0.01,-0.0342,-0.0012,1.0035,40.34575455,116.86145294,70.64,0.004,-0.019,-0.002,0.02,29,29,42,1,2.0
1630553911.2094054,0,0,1,488233.5264887285,4466142.9509996,2173,358728.7,272.76,-0.02,2.61,0.03,-0.17,0.01,-0.0548,0.0017,0.997,40.34575455,116.86145294,70.64,0.001,-0.012,-0.0,0.012,29,29,42,1,2.0
1630553911.7188919,0,0,1,488233.52648699086,4466142.949889631,2173,358729.21,272.76,-0.02,2.62,-0.14,0.27,-0.05,-0.061,0.0003,0.9987,40.34575454,116.86145294,70.64,-0.002,-0.001,0.002,0.002,29,29,42,1,2.0
1630553912.2289078,0,0,1,488233.5256377125,4466142.949890961,2173,358729.72,272.76,-0.02,2.62,-0.18,0.62,-0.06,-0.0505,-0.0018,1.0067,40.34575454,116.86145293,70.64,-0.002,0.008,0.005,0.009,29,29,42,1,2.0
1630553912.731865,0,0,1,488233.5247884364,4466142.949892291,2173,358730.23,272.76,-0.03,2.63,0.01,0.34,0.07,-0.0325,-0.0039,1.0126,40.34575454,116.86145292,70.65,0.001,0.003,0.01,0.004,29,29,42,1,2.0
1630553913.2399745,0,0,1,488233.5256394502,4466142.95100093,2173,358730.73,272.76,-0.03,2.63,-0.02,-0.17,0.0,-0.0518,-0.0005,0.9952,40.34575455,116.86145293,70.65,-0.002,-0.005,0.003,0.005,29,29,42,1,2.0
1630553913.7490432,0,0,1,488233.5256411878,4466142.9521109,2173,358731.24,272.76,-0.03,2.63,-0.2,0.32,-0.01,-0.0592,0.0014,0.9929,40.34575456,116.86145293,70.65,-0.005,0.008,0.007,0.009,29,29,42,1,2.0
1630553914.2537034,0,0,1,488233.52649220376,4466142.953219539,2173,358731.75,272.75,-0.03,2.64,-0.14,0.6,0.01,-0.0505,0.0041,1.0002,40.34575457,116.86145294,70.66,-0.0,0.016,0.011,0.016,29,29,42,1,2.0
1630553914.7605088,0,0,1,488233.5264974166,4466142.956549447,2173,358732.25,272.75,-0.03,2.64,0.25,-0.67,0.01,-0.0428,0.0005,0.9928,40.3457546,116.86145294,70.66,0.003,-0.01,0.003,0.01,29,29,42,1,2.0
1630553915.2703762,0,0,1,488233.5264991543,4466142.957659416,2173,358732.76,272.77,-0.03,2.63,0.05,-0.25,0.01,-0.0531,-0.0019,0.9974,40.34575461,116.86145294,70.66,-0.0,-0.001,0.004,0.001,29,29,42,1,2.0
1630553915.7791822,0,0,1,488233.52564813837,4466142.956550776,2173,358733.27,272.77,-0.03,2.63,-0.16,0.21,-0.07,-0.0631,-0.0039,0.9957,40.3457546,116.86145293,70.66,-0.005,0.009,0.005,0.011,29,29,42,1,2.0
1630553916.289227,0,0,1,488233.52480059984,4466142.957662076,2173,358733.78,272.77,-0.03,2.63,-0.25,0.54,-0.05,-0.0576,0.0009,0.9983,40.34575461,116.86145292,70.66,-0.007,0.018,0.008,0.019,29,29,42,1,2.0
1630553916.7921062,0,0,1,488233.52480233746,4466142.958772045,2173,358734.29,272.77,-0.03,2.62,-0.16,0.55,-0.0,-0.0415,-0.0001,1.01,40.34575462,116.86145292,70.66,-0.005,0.018,0.01,0.019,29,29,42,1,2.0
1630553917.2999349,0,0,1,488233.52565161366,4466142.958770715,2173,358734.79,272.77,-0.03,2.62,0.18,-0.44,0.08,-0.047,0.0026,0.9912,40.34575462,116.86145293,70.66,0.003,-0.007,0.004,0.008,29,29,42,1,2.0
1630553917.809244,0,0,1,488233.5256533513,4466142.9598806845,2173,358735.3,272.77,-0.03,2.62,-0.06,0.0,0.03,-0.0579,-0.0012,1.0022,40.34575463,116.86145293,70.66,-0.003,0.004,0.003,0.005,29,29,42,1,2.0
1630553918.3134286,0,0,1,488233.5256533513,4466142.9598806845,2173,358735.81,272.77,-0.03,2.62,-0.31,0.45,-0.09,-0.0598,-0.0014,1.0023,40.34575463,116.86145293,70.66,-0.009,0.015,0.002,0.017,29,29,42,1,2.0
1630553918.8208709,0,0,1,488233.5265008919,4466142.958769386,2173,358736.31,272.76,-0.03,2.61,0.27,-0.54,0.06,-0.037,-0.003,1.0043,40.34575462,116.86145294,70.66,0.004,-0.009,0.004,0.01,29,29,42,1,2.0
1630553919.3297741,0,0,1,488233.5264991543,4466142.957659416,2173,358736.82,272.76,-0.03,2.61,0.24,-0.51,-0.02,-0.0465,0.0002,0.9997,40.34575461,116.86145294,70.66,0.003,-0.009,0.003,0.009,29,29,42,1,2.0
1630553919.8394513,0,0,1,488233.52735016803,4466142.958768057,2173,358737.33,272.76,-0.02,2.61,-0.02,-0.12,0.05,-0.0533,-0.0013,0.9924,40.34575462,116.86145295,70.67,-0.001,-0.0,0.003,0.001,29,29,42,1,2.0
1630553920.3494685,0,0,1,488233.5281994442,4466142.958766727,2173,358737.84,272.76,-0.02,2.61,-0.15,0.35,-0.03,-0.0567,-0.0016,0.9968,40.34575462,116.86145296,70.67,-0.002,0.01,0.006,0.011,29,29,42,1,2.0
