GPSWeek,GPSTime,imu_lon,imu_lat,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_altitude,imu_satellite_num,imu_warning
2169.0,182133.87,116.34988903,40.00400969,181.87,444509.7596579916,4428404.634237274,0.918,0,0,42.0,39.87,16.0,2.0
2169.0,182134.38,116.34988878,40.00400532,182.73,444509.7347810656,4428404.149359846,0.957,0,0,42.0,39.87,15.0,2.0
2169.0,182134.89,116.34988847,40.00400092,183.5,444509.70475850836,4428403.661190029,0.947,0,0,42.0,39.87,16.0,2.0
2169.0,182135.39,116.3498881,40.00399666,182.42,444509.66972795094,4428403.188596386,0.943,0,0,42.0,39.87,19.0,2.0
2169.0,182135.9,116.34988788,40.00399234,180.84,444509.647452167,4428402.709249862,0.948,0,0,42.0,39.86,13.0,2.0
2169.0,182136.41,116.34988787,40.00398794,179.18,444509.6430363101,4428402.220893261,0.955,0,0,42.0,39.87,14.0,2.0
2169.0,182136.92,116.34988801,40.0039835,177.51,444509.6513914243,4428401.728003606,0.961,0,0,42.0,39.88,14.0,2.0
2169.0,182137.42,116.34988829,40.00397916,176.9,444509.6717773014,4428401.246125939,0.96,0,0,42.0,39.88,16.0,2.0
2169.0,182137.93,116.34988855,40.0039748,177.04,444509.690439874,4428400.762040897,0.976,0,0,42.0,39.88,14.0,2.0
2169.0,182138.44,116.34988878,40.00397037,177.19,444509.7064851066,4428400.270205123,0.973,0,0,42.0,39.88,15.0,2.0
2169.0,182138.94,116.34988905,40.003966,177.43,444509.7259931482,4428399.78500394,0.971,0,0,42.0,39.88,15.0,2.0
2169.0,182139.45,116.34988926,40.00396154,177.55,444509.74030698254,4428399.289850874,0.966,0,0,42.0,39.88,15.0,2.0
2169.0,182139.96,116.34988947,40.00395709,177.69,444509.7546289156,4428398.795807724,0.986,0,0,42.0,39.89,15.0,2.0
2169.0,182140.47,116.34988963,40.00395272,177.87,444509.76474783523,4428398.310675028,0.957,0,0,42.0,39.89,16.0,2.0
2169.0,182140.98,116.34988984,40.00394841,178.01,444509.77918311884,4428397.832170695,0.963,0,0,42.0,39.89,15.0,2.0
2169.0,182141.49,116.34988996,40.00394451,178.2,444509.78626832925,4428397.399228934,0.773,0,0,42.0,39.88,15.0,2.0
2169.0,182141.99,116.34989004,40.00394179,178.33,444509.79089465045,4428397.097282108,0.596,0,0,42.0,39.88,15.0,2.0
2169.0,182142.5,116.34989019,40.00393924,178.59,444509.80163350597,4428396.814160263,0.402,0,0,42.0,39.88,14.0,2.0
