GPSWeek,GPSTime,imu_lon,imu_lat,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_altitude,imu_satellite_num,imu_warning
2154.0,306128.6,116.34981453,40.0053289,180.89,444504.46884663706,4428551.101806687,0.009,0,0,42.0,39.52,13.0,2.0
2154.0,306128.8,116.34981453,40.0053289,180.89,444504.46884663706,4428551.101806687,0.01,0,0,42.0,39.51,13.0,2.0
2154.0,306129.4,116.34981457,40.0053289,180.89,444504.4722607986,4428551.10178178,0.012,0,0,42.0,39.51,13.0,2.0
2154.0,306130.1,116.34981462,40.00532891,180.91,444504.4765365951,4428551.10286056,0.012,0,0,42.0,39.51,13.0,2.0
2154.0,306130.8,116.34981465,40.0053289,180.91,444504.47908911953,4428551.101731965,0.016,0,0,42.0,39.51,17.0,2.0
2154.0,306131.5,116.34981467,40.00532873,180.93,444504.4806585455,4428551.082850943,0.112,0,0,42.0,39.51,18.0,2.0
2154.0,306132.2,116.34981464,40.00532731,181.21,444504.4769481127,4428550.925261583,0.347,0,0,42.0,39.51,17.0,2.0
2154.0,306132.9,116.34981457,40.00532468,181.77,444504.4688437476,4428550.633397325,0.494,0,0,42.0,39.51,15.0,2.0
2154.0,306133.6,116.34981458,40.00532156,180.29,444504.4671709373,4428550.287097377,0.5,0,0,42.0,39.5,15.0,2.0
2154.0,306134.2,116.34981472,40.00531892,178.4,444504.4769828203,4428549.993992437,0.503,0,0,42.0,39.5,15.0,2.0
2154.0,306134.9,116.34981486,40.00531587,178.25,444504.4864627184,4428549.655380951,0.55,0,0,42.0,39.5,16.0,2.0
2154.0,306135.6,116.34981507,40.00531189,178.0,444504.5011643564,4428549.21350371,0.749,0,0,42.0,39.5,16.0,2.0
2154.0,306136.3,116.34981533,40.00530705,177.74,444504.5194373325,4428548.676142578,0.806,0,0,42.0,39.5,16.0,2.0
2154.0,306137.0,116.34981559,40.0053021,177.49,444504.5376212445,4428548.126572374,0.83,0,0,42.0,39.5,14.0,2.0
2154.0,306137.7,116.34981591,40.00529658,177.11,444504.56046485796,4428547.513699611,0.945,0,0,42.0,39.5,15.0,2.0
2154.0,306138.4,116.34981632,40.00529069,176.72,444504.5906907475,4428546.859703924,0.956,0,0,42.0,39.49,18.0,2.0
2154.0,306139.0,116.3498167,40.00528554,176.39,444504.61895521625,4428546.287860683,1.01,0,0,42.0,39.49,17.0,2.0
2154.0,306139.7,116.34981726,40.00527897,175.98,444504.6614336174,4428545.55829732,1.072,0,0,42.0,39.49,18.0,2.0
2154.0,306140.3,116.34981776,40.00527323,175.67,444504.6994628552,4428544.920894329,1.08,0,0,42.0,39.49,17.0,2.0
2154.0,306141.0,116.34981844,40.00526652,175.26,444504.75207040785,4428544.175717426,1.076,0,0,42.0,39.49,16.0,2.0
2154.0,306141.6,116.34981907,40.00526076,174.89,444504.8011795019,4428543.536013656,1.08,0,0,42.0,39.49,18.0,2.0
2154.0,306142.3,116.34981982,40.00525409,174.7,444504.8597942539,4428542.7952328315,1.058,0,0,42.0,39.49,17.0,2.0
